date,name,type
2021-01-01,New Year's Day,National holiday
2021-02-14,Valentine's Day,Observance
2021-02-17,Ash Wednesday,"Observance, Christian"
2021-03-08,Women's Day,Observance
2021-03-14,Mothering Sunday,Observance
2021-03-20T10:37:31+01:00,March Equinox,Season
2021-04-02,Good Friday,National holiday
2021-04-03,Holy Saturday,"Observance, Christian"
2021-04-04,Easter Sunday,"Observance, Christian"
2021-04-05,Easter Monday,National holiday
2021-05-01,Workers' Day,National holiday
2021-05-03,Day off for Workers' Day,National holiday
2021-05-12,Id el Fitr holiday,National holiday
2021-05-13,Id el Fitr,National holiday
2021-05-27,Children's Day,Observance
2021-06-12,Democracy Day,National holiday
2021-06-14,Day off for Democracy Day,National holiday
2021-06-20,Father's Day,Observance
2021-06-21T04:32:09+01:00,June Solstice,Season
2021-07-20,Id el Kabir,National holiday
2021-07-21,Id el Kabir additional holiday,National holiday
2021-08-09,Al-Hijra Holiday,Local holiday
2021-08-10,Al-Hijra Holiday,Local holiday
2021-08-20,Isese Day,Local holiday
2021-08-27,State Creation Anniversary Day,Local holiday
2021-09-22T20:21:11+01:00,September Equinox,Season
2021-10-01,National Day,National holiday
2021-10-19,Id el Maulud,National holiday
2021-12-21T16:59:18+01:00,December Solstice,Season
2021-12-22,Sambisa Memorial Day,Local holiday
2021-12-24,Christmas Eve,"Observance, Christian"
2021-12-25,Christmas Day,National holiday
2021-12-26,Boxing Day,National holiday
2021-12-27,Day off for Christmas Day,National holiday
2021-12-28,Day off for Boxing Day,National holiday
2021-12-31,New Year's Eve,Observance
